id,domain,concept,definition,model_answer,expected_answer,normalized_answer,consistent
29,Common Nouns,Appliance,"A device or machine, typically powered (often electrically), designed to perform a specific function, especially a domestic or office task.",yes,yes,yes,True
30,Common Nouns,Appliance,"An appliance is a device, typically powered by electricity or gas, designed to perform a specific practical function, especially within a household or office setting, to facilitate everyday tasks.",no,no,no,True
31,Common Nouns,Weapon,"A weapon is any object or device used or designed to inflict harm, injury, or death upon living beings, or to cause damage to property or structures. It can also be employed to threaten such outcomes. This definition includes items specifically manufactured for hostile purposes, as well as ordinary objects repurposed for such use.",yes,yes,yes,True
32,Common Nouns,Weapon,"A weapon is any item, device, substance, or force primarily designed or used to inflict physical harm, injury, or death on living beings, or to cause damage or destruction to property.",no,no,no,True
33,Common Nouns,Language,"Language is a structured system of communication, typically human, that uses shared symbols (such as sounds, gestures, or written characters) and rules to express and exchange thoughts, ideas, and feelings.",yes,yes,yes,True
34,Common Nouns,Language,"**Language** is a structured system of communication, utilizing sounds, symbols, and grammatical rules, employed by humans to express and transmit thoughts, ideas, and feelings. It is shared and understood within a community, enabling effective interaction and the transmission of culture.",no,no,no,True
35,Common Nouns,Game,"A game is a structured activity, involving one or more players, who interact within a defined set of rules to achieve a specific objective or outcome.",yes,yes,yes,True
36,Common Nouns,Game,"A game is a structured form of play with defined rules, participants (players), and clear objectives, often involving competition, challenge, or the pursuit of a specific outcome.",no,no,no,True
37,Common Nouns,Food,"Food is any substance consumed by an organism for nourishment, providing energy, promoting growth, and maintaining vital bodily processes.",yes,yes,yes,True
38,Common Nouns,Food,"Food is any substance, typically organic, that is consumed by an organism to provide nutritional support, energy, and material for growth, repair, and the maintenance of life.",no,no,no,True
39,Common Nouns,Animal,"**Definition:** An animal is a multicellular, eukaryotic organism belonging to the Kingdom Animalia, characterized by lacking cell walls, being heterotrophic (obtaining nutrition by consuming other organisms), and generally being motile at some stage of its life.",yes,yes,yes,True
40,Common Nouns,Animal,"An animal is a multicellular organism that is heterotrophic, meaning it obtains nutrition by ingesting other organisms. It is typically motile (capable of self-movement) at some point in its life cycle, and its cells lack rigid cell walls.",no,no,no,True
41,Scientific Concepts,Renewable Energy,"**Renewable energy** is energy derived from natural sources that replenish themselves on a human timescale, making them virtually inexhaustible.

Common sources include solar, wind, hydro (water), geothermal (earth's heat), and biomass.",yes,yes,yes,True
42,Scientific Concepts,Renewable Energy,"**Renewable energy** is energy derived from natural sources that replenish themselves on a human timescale, making them virtually inexhaustible. These sources include sunlight, wind, hydropower (from moving water), geothermal heat, and biomass.",no,no,no,True
43,Scientific Concepts,Gravity,"Gravity is a fundamental natural force that causes any two objects possessing mass or energy to attract each other. Its strength depends directly on their masses and inversely on the square of the distance between them. It is responsible for phenomena like objects falling to Earth, planets orbiting stars, and the large-scale structure of the universe.",yes,yes,yes,True
44,Scientific Concepts,Gravity,"Gravity is a fundamental natural phenomenon, or force, that causes any two objects possessing mass or energy to attract each other. It is responsible for weight, tides, and the formation and orbits of celestial bodies.",no,no,no,True
45,Scientific Concepts,Photosynthesis,"Photosynthesis is a biochemical process by which plants, algae, and cyanobacteria convert light energy into chemical energy. This occurs by synthesizing organic compounds (sugars) from carbon dioxide and water, with oxygen released as a byproduct.",no,yes,no,False
46,Scientific Concepts,Photosynthesis,"Photosynthesis is the biochemical process by which green plants, algae, and some bacteria convert light energy into chemical energy. This is achieved by using carbon dioxide and water to produce glucose (sugars) as food, while releasing oxygen as a byproduct.",no,no,no,True
47,Scientific Concepts,Ecosystem,"An ecosystem is a community of living organisms interacting with each other and their non-living physical environment, forming a functional unit linked by the flow of energy and nutrients.",yes,yes,yes,True
48,Scientific Concepts,Ecosystem,"An **ecosystem** is a biological community of interacting organisms (biotic components) and their physical environment (abiotic components), functioning as a unified system through the exchange of energy and nutrients.",no,no,no,True
49,Scientific Concepts,Atom,"An atom is the fundamental building block of all matter, defined as the smallest unit of a chemical element that retains its chemical identity. It consists of a dense central nucleus (containing positively charged protons and neutral neutrons) surrounded by a cloud of negatively charged electrons.",yes,yes,yes,True
50,Scientific Concepts,Atom,An **atom** is the smallest unit of an ordinary chemical element that retains the chemical properties of that element. It consists of a dense central nucleus (containing protons and neutrons) surrounded by a cloud of orbiting electrons.,no,no,no,True
51,Scientific Concepts,Cell,"A cell is the fundamental structural and functional unit of all known living organisms. It is the smallest unit of life capable of independent existence and carrying out the processes essential for life. It typically consists of cytoplasm enclosed within a membrane, and contains genetic material.",yes,yes,yes,True
52,Scientific Concepts,Cell,A cell is the basic structural and functional unit of all known living organisms. It is the smallest unit that can perform all the processes necessary for life.,no,no,no,True
53,Scientific Concepts,Electric Current,"**Electric current** is the rate at which electric charge flows past a point in a circuit or conductor.

It is conventionally defined as the direction in which positive charges would move, and its SI unit is the Ampere (A).",yes,yes,yes,True
54,Scientific Concepts,Electric Current,"**Electric current** is the **rate of flow of electric charge** through a conductor or space.

**Key points:**
*   It quantifies how much charge passes a given point per unit of time.
*   It is typically carried by moving electrons in solids, but can also be carried by ions in liquids or gases.
*   The standard unit of electric current is the **ampere (A)**, which is defined as one coulomb of charge per second (C/s).
*   It is conventionally represented by the symbol **I**.",no,no,no,True
55,Scientific Concepts,Force,"**Force** is a push or a pull that acts on an object, capable of causing it to accelerate (change its speed or direction) or to deform.",yes,yes,yes,True
56,Scientific Concepts,Force,"A force is a push or a pull that can change the motion of an object (cause it to accelerate), or deform it. It is a vector quantity, meaning it has both magnitude and direction.",no,no,no,True
57,Scientific Concepts,Temperature,**Temperature** is a physical quantity that measures the average kinetic energy of the particles (atoms and molecules) within a substance or system. It quantifies the degree of hotness or coldness and determines the direction of heat transfer between objects.,yes,yes,yes,True
58,Scientific Concepts,Temperature,**Temperature** is a physical quantity that quantifies the average kinetic energy of the particles (atoms and molecules) within a substance or system. It determines the direction of heat transfer between systems.,no,no,no,True
59,Scientific Concepts,Evaporation,"Evaporation is the process by which a liquid transforms into a gas or vapor, occurring at the surface of the liquid at temperatures below its boiling point, as molecules gain sufficient thermal energy to escape into the surrounding atmosphere.",yes,yes,yes,True
60,Scientific Concepts,Evaporation,"Evaporation is the process by which a liquid changes into a gas (vapor) at its surface, typically occurring below the liquid's boiling point, as molecules with sufficient kinetic energy escape into the surrounding atmosphere.",no,no,no,True
61,Scientific Concepts,Magnetism,"**Magnetism** is a fundamental physical phenomenon where objects exert attractive or repulsive forces on one another, mediated by invisible magnetic fields. These fields are generated by moving electric charges (electric currents) and the intrinsic magnetic properties of elementary particles, particularly electrons within atoms.",yes,yes,yes,True
62,Scientific Concepts,Magnetism,"**Magnetism** is a fundamental physical phenomenon produced by the motion of electric charge, resulting in attractive and repulsive forces between certain materials, mediated by magnetic fields.",no,no,no,True
63,Scientific Concepts,Voltage,"Voltage is the **electric potential difference** between two points, representing the energy per unit charge available to drive an electric current. It is measured in **volts (V)**.",yes,yes,yes,True
64,Scientific Concepts,Voltage,**Voltage** is the **electrical potential difference** between two points in an electrical circuit. It represents the **amount of energy per unit of electric charge** available to move electrons and create an electric current. It is measured in **Volts (V)**.,no,no,no,True
65,Scientific Concepts,Mutation,"A mutation is a **permanent alteration** in the **nucleotide sequence** of an organism's **genetic material** (DNA or, in some viruses, RNA).",yes,yes,yes,True
66,Scientific Concepts,Mutation,"**Mutation:** A random change in the DNA or RNA sequence of an organism. It can arise from errors during replication, repair, or recombination, or from environmental factors, and is the fundamental source of genetic variation.",no,no,no,True
67,Scientific Concepts,Orbit,"An **orbit** is the repeating, curved path in space that one object (such as a planet, moon, or satellite) follows around another, more massive object (the central body), primarily due to the force of gravity.",yes,yes,yes,True
68,Scientific Concepts,Orbit,"An **orbit** is the regular, repeating, curved path that one celestial body (such as a planet or satellite) follows around another, more massive body (such as a star or planet), primarily due to the force of gravity.",no,no,no,True
69,Scientific Concepts,Acid,"An acid is a chemical substance that, in aqueous solution, releases hydrogen ions (H+) or hydronium ions (H3O+) (Arrhenius definition). More broadly, according to the Brønsted-Lowry theory, an acid is a proton (H+) donor in a chemical reaction.

Key characteristics typically include:
*   A sour taste.
*   Reaction with bases to form a salt and water.
*   A pH value less than 7.",yes,yes,yes,True
70,Scientific Concepts,Acid,"An acid is a chemical species that donates a proton (H⁺) to another substance. In an aqueous solution, this action typically results in an increased concentration of hydronium ions (H₃O⁺).",no,no,no,True
71,Scientific Concepts,Bacteria,"**Bacteria** are microscopic, single-celled organisms characterized by their prokaryotic cell structure, meaning they lack a membrane-bound nucleus and other specialized organelles. Found in nearly every environment on Earth, they exhibit diverse shapes (e.g., spheres, rods, spirals) and play crucial roles in ecosystems, though some can cause disease.",yes,yes,yes,True
72,Scientific Concepts,Bacteria,"**Bacteria** are microscopic, single-celled organisms that are prokaryotic, meaning they lack a true nucleus and other membrane-bound organelles, with their genetic material (DNA) located in the cytoplasm. They possess a cell wall and typically reproduce by binary fission, existing ubiquitously in diverse environments and playing varied roles, both beneficial and harmful, in ecosystems and other life forms.",no,no,no,True
73,Scientific Concepts,Energy,"**Energy** is the capacity to do work or cause change. It exists in various forms, such as kinetic (motion), potential (stored), thermal (heat), chemical, electrical, and electromagnetic (light). While it can be transferred between these forms, energy cannot be created or destroyed, only transformed.",yes,yes,yes,True
74,Scientific Concepts,Energy,"**Energy** is the capacity to do work or cause change. It is a fundamental physical quantity that exists in various forms, such as kinetic (of motion), potential (stored), thermal (heat), chemical, electrical, nuclear, and radiant (light). While it can be converted from one form to another, it cannot be created or destroyed, a principle known as the law of conservation of energy.",no,no,no,True
75,Scientific Concepts,Pressure,"**Pressure** is defined as the force applied perpendicular to a surface per unit area.

Mathematically, it is expressed as:

$P = F/A$

Where:
*   **P** is pressure
*   **F** is the normal (perpendicular) force
*   **A** is the area over which the force is distributed

It is a scalar quantity, and its SI unit is the Pascal (Pa), which is equal to one Newton per square meter (N/m²). Pressure applies to solids, liquids, and gases.",yes,yes,yes,True
76,Scientific Concepts,Pressure,"Pressure is the amount of force exerted perpendicular to a surface per unit area.

It is calculated by the formula: **Pressure (P) = Force (F) / Area (A)**.

The standard international (SI) unit for pressure is the Pascal (Pa), which is equivalent to one Newton per square meter (N/m²).",no,no,no,True
77,Scientific Concepts,Refraction,"Refraction is the **bending** or **change in direction** of a wave (such as light, sound, or water waves) as it passes from one medium to another, due to a **change in its speed**. This phenomenon occurs when the wave strikes the boundary between the two media at an angle.",yes,yes,yes,True
78,Scientific Concepts,Refraction,"Refraction is the change in direction (or bending) of a wave, such as light or sound, as it passes from one medium into another, due to a change in its speed.",no,no,no,True
79,Scientific Concepts,Carbon Cycle,"The **Carbon Cycle** is the natural biogeochemical cycle by which carbon is exchanged among the atmosphere, oceans, land (including living organisms and soil), and Earth's crust. It involves continuous movement through processes like photosynthesis, respiration, decomposition, geological activity, and human activities such as the burning of fossil fuels, playing a critical role in regulating Earth's climate and supporting life.",yes,yes,yes,True
80,Scientific Concepts,Carbon Cycle,"The Carbon Cycle is the natural biogeochemical cycle that describes the continuous movement of carbon atoms among Earth's major reservoirs: the atmosphere, oceans, land (including living organisms and soils), and sediments/rocks. This circulation occurs through a variety of biological processes (like photosynthesis and respiration), chemical reactions, physical transfers, and human activities (like burning fossil fuels), and is essential for supporting life and regulating Earth's climate.",no,no,no,True
81,Social & Ethical Concepts,Fairness,"**Fairness** is the quality or principle of treating people, situations, or decisions in an impartial and just manner, free from favoritism, discrimination, or prejudice, ensuring that actions, allocations, and outcomes are appropriate and equitable relative to relevant factors such as merit, need, or circumstance.",no,yes,no,False
82,Social & Ethical Concepts,Fairness,"Fairness is the principle of treating individuals and groups impartially and without prejudice, ensuring that decisions and actions are based on established rules, merit, or need, rather than arbitrary preference or bias. It aims to provide equitable opportunities and outcomes.",no,no,no,True
83,Social & Ethical Concepts,Justice,"**Definition:**

Justice is the moral and philosophical principle of fairness and righteousness, applied to the treatment of individuals and the distribution of resources, opportunities, and consequences. It aims to ensure that individuals receive what is due to them based on ethical principles, reason, and law.",yes,yes,yes,True
84,Social & Ethical Concepts,Justice,"**Justice** is the principle or ideal of fairness and righteousness in the treatment of individuals and groups. It involves upholding rights, assigning deserved rewards or punishments, and rectifying wrongs, based on ethical principles, reason, and law.",no,no,no,True
85,Social & Ethical Concepts,Honesty,"**Honesty** is the quality of being truthful and sincere in one's words and actions, free from deceit or deliberate falsehood. It reflects integrity and fosters trust.",yes,yes,yes,True
86,Social & Ethical Concepts,Honesty,"**Honesty** is the quality of being truthful, sincere, and free from deceit. It involves consistently speaking the truth, acting authentically, and adhering to moral and ethical principles in one's words and actions.",no,no,no,True
87,Social & Ethical Concepts,Responsibility,"**Responsibility** is the duty or obligation to complete a task, fulfill a role, or manage a situation, along with the accountability for one's actions, decisions, and their resulting outcomes or consequences.",yes,yes,yes,True
88,Social & Ethical Concepts,Responsibility,"**Responsibility:** The state or fact of having a duty or obligation to perform a task, care for someone, or achieve an outcome, coupled with accountability for one's actions, decisions, and their resulting consequences.",no,no,no,True
89,Social & Ethical Concepts,Empathy,"**Empathy** is the ability to understand and share the feelings, thoughts, or experiences of another person, often by imagining oneself in their situation.",yes,yes,yes,True
90,Social & Ethical Concepts,Empathy,"**Empathy** is the ability to understand and share the feelings of another person, often by imagining oneself in their situation or from their perspective.",no,no,no,True
91,Social & Ethical Concepts,Equality,"**Equality** is the state or principle of being equal, especially in status, rights, and opportunities. It advocates for fair treatment and access for all individuals, asserting that everyone should be considered of equal worth and value, regardless of their differences.",yes,yes,yes,True
92,Social & Ethical Concepts,Equality,"**Equality** is the state where all individuals possess the same fundamental rights, opportunities, and are treated with the same dignity and respect, regardless of their background, characteristics, or circumstances.",no,no,no,True
93,Social & Ethical Concepts,Trust,"**Trust** is a firm belief in the reliability, truth, ability, or strength of someone or something, leading to a confident reliance and often a willingness to be vulnerable based on the expectation of positive or predictable outcomes.",yes,yes,yes,True
94,Social & Ethical Concepts,Trust,"**Trust** is a firm belief in the reliability, truth, ability, or strength of someone or something, leading to a willingness to rely on them, often despite vulnerability.",no,no,no,True
95,Social & Ethical Concepts,Freedom,"**Freedom:** The ability to act, speak, or think without undue external constraint or coercion. It encompasses the power to make choices and determine one's own actions, typically within a framework that respects the equal rights and freedoms of others.",yes,yes,yes,True
96,Social & Ethical Concepts,Freedom,"**Freedom** is the state of being able to act, speak, or think without undue external restraint or coercion. It encompasses the power to make choices and exercise one's own will, typically within the bounds of not infringing upon the rights or freedoms of others.",no,no,no,True
97,Social & Ethical Concepts,Privacy,"**Privacy** is the right or capacity of individuals to control access to their personal information, space, and choices, and to determine the extent to which these are shared or observed by others. It encompasses the ability to maintain a sphere of personal autonomy free from unwarranted intrusion.",yes,yes,yes,True
98,Social & Ethical Concepts,Privacy,"**Privacy** is the ability and right of individuals to control access to, and the collection, use, and disclosure of their personal information, private affairs, and physical space, thereby enabling their autonomy, choice, and freedom from undue intrusion.",no,no,no,True
99,Social & Ethical Concepts,Respect,"**Respect** is a positive regard and admiration shown towards someone or something that is considered valuable, important, or worthy of honor. It involves recognizing their inherent worth, dignity, or rights, and demonstrating this through thoughtful, considerate, and appropriate behavior.",yes,yes,yes,True
100,Social & Ethical Concepts,Respect,"**Respect** is a feeling of deep admiration or high regard for someone or something, based on their qualities, achievements, or inherent worth. It is demonstrated through considerate actions, courteous behavior, and by honoring boundaries.",no,no,no,True
101,Social & Ethical Concepts,Integrity,"**Integrity** is the quality of being honest and having strong moral principles, demonstrating consistency between one's values, words, and actions, especially when faced with challenges or when unobserved.",yes,yes,yes,True
102,Social & Ethical Concepts,Integrity,"**Integrity** is the quality of being honest and having strong moral principles. It involves consistently adhering to one's values and ethical standards, demonstrating uprightness and an undivided moral character.",no,no,no,True
103,Social & Ethical Concepts,Compassion,"**Compassion** is a deep feeling of sympathy and sorrow for others who are experiencing distress or suffering, coupled with a strong desire to alleviate that suffering.",no,yes,no,False
104,Social & Ethical Concepts,Compassion,"Compassion is a deep feeling of sympathetic concern for the suffering of others, accompanied by a strong desire to alleviate or reduce that suffering.",no,no,no,True
105,Social & Ethical Concepts,Accountability,"**Accountability** is the obligation of an individual or organization to accept responsibility for its actions, decisions, and their resulting outcomes, and to be answerable for them, including the obligation to report and be subject to consequences (positive or negative).",yes,yes,yes,True
106,Social & Ethical Concepts,Accountability,"**Accountability** is the obligation of an individual or organization to be answerable for its actions and decisions, to explain and justify them, and to accept credit or blame for the resulting outcomes.",no,no,no,True
107,Social & Ethical Concepts,Altruism,"**Altruism** is the selfless concern for the well-being of others, without expectation of personal benefit or reward, often involving actions that may come at a cost to the altruist.",yes,yes,yes,True
108,Social & Ethical Concepts,Altruism,"**Altruism is behavior motivated by selfless concern for the well-being of others, where an individual acts to benefit another without expectation of personal gain or reward, often at a cost or risk to themselves.**",no,no,no,True
109,Social & Ethical Concepts,Discrimination,"**Discrimination** is the unjust or prejudicial treatment of different categories of people, especially on the grounds of characteristics such as race, ethnicity, gender, sexual orientation, religion, disability, or age. It often leads to the disadvantage, denial of opportunities, or harm of the targeted individuals or groups.",yes,yes,yes,True
110,Social & Ethical Concepts,Discrimination,"**Discrimination** is the unjust or prejudicial treatment of different categories of people, especially on the grounds of race, age, sex, religion, or disability. It involves treating individuals or groups differently and less favorably based on their actual or perceived membership in a social category, rather than on their individual qualities or merits, often resulting in disadvantage, exclusion, or the denial of rights and opportunities.",no,no,no,True
111,Social & Ethical Concepts,Cooperation,**Cooperation** is the act or process of individuals or groups working together towards a shared goal or for mutual benefit.,yes,yes,yes,True
112,Social & Ethical Concepts,Cooperation,"**Cooperation** is the act or process of individuals or groups working together, combining their efforts, resources, or skills, to achieve a common goal or mutual benefit.",no,no,no,True
113,Social & Ethical Concepts,Transparency,"**Transparency** is the principle or practice of operating openly, honestly, and clearly, by making information, processes, and decisions visible and accessible to relevant parties. Its purpose is to foster trust, enable scrutiny, and promote accountability.",yes,yes,yes,True
114,Social & Ethical Concepts,Transparency,"**Transparency** is the quality of being open, honest, and clear in communicating information, decisions, and processes, making them accessible and understandable to those affected or interested. It fosters trust, accountability, and informed decision-making.",no,no,no,True
115,Social & Ethical Concepts,Ethical Behavior,"**Ethical behavior** is conduct guided by moral principles and values, demonstrating an understanding of right from wrong, and characterized by actions that are fair, honest, respectful, and responsible towards oneself, others, and the broader community.",yes,yes,yes,True
116,Social & Ethical Concepts,Ethical Behavior,"**Ethical behavior** refers to actions, choices, and conduct that are guided by moral principles and values, distinguishing between right and wrong, and aiming to promote fairness, respect, integrity, and well-being for all stakeholders.",no,no,no,True
117,Social & Ethical Concepts,Consent,"**Consent** is a voluntary, informed, and clear agreement given by a person with the capacity to make that decision, to engage in a specific activity or action.

It must be freely given, without coercion, pressure, or manipulation, and can be withdrawn at any time, even if previously given.",no,yes,no,False
118,Social & Ethical Concepts,Consent,"**Consent** is voluntary, informed, and enthusiastic permission for an action or activity, given by a person with the capacity to make that decision. It must be freely and actively given, free from coercion, manipulation, or fraud, and can be withdrawn at any time.",no,no,no,True
119,Social & Ethical Concepts,Human Rights,"**Human Rights** are fundamental rights and freedoms inherent to all individuals, universal, inalienable, and essential for ensuring dignity, equality, and freedom.",yes,yes,yes,True
120,Social & Ethical Concepts,Human Rights,"Human Rights are fundamental rights and freedoms inherent to all individuals, simply by virtue of being human. They are universal, inalienable, and non-discriminatory, ensuring dignity, equality, and protection from abuse, and placing obligations primarily on states to respect, protect, and fulfill them.",no,no,no,True
121,Procedural Concepts,Algorithm,"An algorithm is a finite, unambiguous set of well-defined instructions for solving a problem or accomplishing a specific task. It takes zero or more inputs, performs a sequence of operations, and produces one or more outputs, always terminating in a finite number of steps.",no,yes,no,False
122,Procedural Concepts,Algorithm,"An **algorithm** is a finite sequence of well-defined, unambiguous instructions or steps for solving a problem or performing a computation. It takes one or more inputs, produces one or more outputs, and is guaranteed to terminate in a finite amount of time.",no,no,no,True
123,Procedural Concepts,Protocol,"A protocol is a **set of established rules and standards** that dictate how different entities (e.g., computers, systems, or individuals) communicate, interact, and exchange data or information.

These rules cover the format, timing, sequencing, and error handling of messages, ensuring clear, orderly, and mutually understood interactions.",yes,yes,yes,True
124,Procedural Concepts,Protocol,"A **protocol** is a set of formal rules, procedures, or conventions that govern how interactions or communications are conducted between two or more parties or systems. Its purpose is to ensure consistent, predictable, and effective outcomes.

**In computing and networking**, a protocol specifically defines the format, timing, sequencing, and error-checking methods for exchanging data between devices, enabling them to communicate and understand each other.",no,no,no,True
125,Procedural Concepts,Procedure,"**Definition:**
A procedure is a sequence of actions or steps performed in a specific, established, or prescribed order to achieve a particular outcome, complete a task, or solve a problem.",no,yes,no,False
126,Procedural Concepts,Procedure,"A procedure is a **series of established or prescribed actions or steps performed in a specific order** to accomplish a task, achieve a particular outcome, or ensure consistency.",no,no,no,True
127,Procedural Concepts,Workflow,"A workflow is a sequence of tasks, steps, or activities that are followed to complete a specific process or achieve a particular outcome. It outlines the progression of work, defining who does what, when, and with what information or tools, from initiation to completion.",no,yes,no,False
128,Procedural Concepts,Workflow,A workflow is a sequence of tasks or activities performed in a defined order by people or systems to achieve a specific goal or outcome.,no,no,no,True
129,Procedural Concepts,Method,"A systematic or established way of doing something, often following a specific procedure or technique, to achieve a particular goal or objective.",no,yes,no,False
130,Procedural Concepts,Method,"A **systematic and often established way, procedure, or process** for accomplishing a task, achieving a goal, or conducting an inquiry.",no,no,no,True
131,Procedural Concepts,Rule,"**Definition:** An established principle, instruction, or guideline that dictates or regulates behavior, actions, or procedures within a specific context.",yes,yes,yes,True
